cpt_1,proc_type,procedure_group,Description
99494,Evaluation & Management,129-Other medical services,"Initial or subsequent psychiatric collaborative care management, each additional 30 minutes in a calendar month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional (List separately in addition to code for primary procedure)"
G0264,Temp Codes (Professional),129-Other medical services,NA
G9473,Temp Codes (Professional),129-Other medical services,"Services performed by chaplain in the hospice setting, each 15 minutes"
G9478,Temp Codes (Professional),129-Other medical services,"Services performed by other qualified therapist in the hospice setting, each 15 minutes"
S9901,Temp Codes (Commercial),129-Other medical services,"Services by a Journal-listed Christian Science nurse, per hour"
S9986,Temp Codes (Commercial),129-Other medical services,Not medically necessary service (patient is aware that service not medically necessary)
S9990,Temp Codes (Commercial),129-Other medical services,Services provided as part of a Phase II clinical trial
T2014,Medical Agency Codes,129-Other medical services,"Habilitation, prevocational, waiver; per diem"
S9110,Temp Codes (Commercial),129-Other medical services,"Telemonitoring of patient in their home, including all necessary equipment; computer system, connections, and software; maintenance; patient education and support; per month"
S9900,Temp Codes (Commercial),129-Other medical services,"Services by a Journal-listed Christian Science practitioner for the purpose of healing, per diem"
T1018,Medical Agency Codes,129-Other medical services,"School-based individualized education program (IEP) services, bundled"
T2016,Medical Agency Codes,129-Other medical services,"Habilitation, residential, waiver; per diem"
T2020,Medical Agency Codes,129-Other medical services,"Day habilitation, waiver; per diem"
T2024,Medical Agency Codes,129-Other medical services,"Service assessment/plan of care development, waiver"
0591T,Temporary Code,129-Other medical services,"Health and well-being coaching face-to-face; individual, initial assessment"
99002,Evaluation & Management,129-Other medical services,"Handling, conveyance, and/or any other service in connection with the implementation of an order involving devices (eg, designing, fitting, packaging, handling, delivery or mailing) when devices such as orthotics, protectives, prosthetics are fabricated by an outside laboratory or shop but which items have been designed, and are to be fitted and adjusted by the attending physician or other qualified health care professional"
99060,Evaluation & Management,129-Other medical services,"Service(s) provided on an emergency basis, out of the office, which disrupts other scheduled office services, in addition to basic service"
99141,Anesthesia,129-Other medical services,NA
99359,Evaluation & Management,129-Other medical services,Prolonged evaluation and management service before and/or after direct patient care; each additional 30 minutes (List separately in addition to code for prolonged service)
99363,Evaluation & Management,129-Other medical services,NA
99367,Evaluation & Management,129-Other medical services,"Medical team conference with interdisciplinary team of health care professionals, patient and/or family not present, 30 minutes or more; participation by physician"
99377,Evaluation & Management,129-Other medical services,"Supervision of a hospice patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, review of related laboratory and other studies, communication (including telephone calls) for purposes of assessment or care decisions with health care professional(s), family member(s), surrogate decision maker(s) (eg, legal guardian) and/or key caregiver(s) involved in patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month; 15-29 minutes"
99380,Evaluation & Management,129-Other medical services,"Supervision of a nursing facility patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, review of related laboratory and other studies, communication (including telephone calls) for purposes of assessment or care decisions with health care professional(s), family member(s), surrogate decision maker(s) (eg, legal guardian) and/or key caregiver(s) involved in patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month; 30 minutes or more"
99427,Evaluation & Management,129-Other medical services,"Principal care management services, for a single high-risk disease, with the following required elements: one complex chronic condition expected to last at least 3 months, and that places the patient at significant risk of hospitalization, acute exacerbation/decompensation, functional decline, or death, the condition requires development, monitoring, or revision of disease-specific care plan, the condition requires frequent adjustments in the medication regimen and/or the management of the condition is unusually complex due to comorbidities, ongoing communication and care coordination between relevant practitioners furnishing care; each additional 30 minutes of clinical staff time directed by a physician or other qualified health care professional, per calendar month (List separately in addition to code for primary procedure)"
99437,Evaluation & Management,129-Other medical services,"Chronic care management services with the following required elements: multiple (two or more) chronic conditions expected to last at least 12 months, or until the death of the patient, chronic conditions that place the patient at significant risk of death, acute exacerbation/decompensation, or functional decline, comprehensive care plan established, implemented, revised, or monitored; each additional 30 minutes by a physician or other qualified health care professional, per calendar month (List separately in addition to code for primary procedure)"
99439,Evaluation & Management,129-Other medical services,"Chronic care management services with the following required elements: multiple (two or more) chronic conditions expected to last at least 12 months, or until the death of the patient, chronic conditions that place the patient at significant risk of death, acute exacerbation/decompensation, or functional decline, comprehensive care plan established, implemented, revised, or monitored; each additional 20 minutes of clinical staff time directed by a physician or other qualified health care professional, per calendar month (List separately in addition to code for primary procedure)"
99454,Evaluation & Management,129-Other medical services,"Remote monitoring of physiologic parameter(s) (eg, weight, blood pressure, pulse oximetry, respiratory flow rate), initial; device(s) supply with daily recording(s) or programmed alert(s) transmission, each 30 days"
99466,Evaluation & Management,129-Other medical services,"Critical care face-to-face services, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or younger; first 30-74 minutes of hands-on care during transport"
99474,Evaluation & Management,129-Other medical services,"Self-measured blood pressure using a device validated for clinical accuracy; separate self-measurements of two readings one minute apart, twice daily over a 30-day period (minimum of 12 readings), collection of data reported by the patient and/or caregiver to the physician or other qualified health care professional, with report of average systolic and diastolic pressures and subsequent communication of a treatment plan to the patient"
99497,Evaluation & Management,129-Other medical services,"Advance care planning including the explanation and discussion of advance directives such as standard forms (with completion of such forms, when performed), by the physician or other qualified health care professional; first 30 minutes, face-to-face with the patient, family member(s), and/or surrogate"
99607,Evaluation & Management,129-Other medical services,"Medication therapy management service(s) provided by a pharmacist, individual, face-to-face with patient, with assessment and intervention if provided; each additional 15 minutes (List separately in addition to code for primary service)"
G9476,Temp Codes (Professional),129-Other medical services,"Services performed by volunteer in the hospice setting, each 15 minutes"
96523,Evaluation & Management,129-Other medical services,Irrigation of implanted venous access device for drug delivery systems
99461,Evaluation & Management,129-Other medical services,"Initial care, per day, for evaluation and management of normal newborn infant seen in other than hospital or birthing center"
99473,Evaluation & Management,129-Other medical services,Self-measured blood pressure using a device validated for clinical accuracy; patient education/training and device calibration
99484,Evaluation & Management,129-Other medical services,"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or follow-up monitoring, including the use of applicable validated rating scales, behavioral health care planning in relation to behavioral/psychiatric health problems, including revision for patients who are not progressing or whose status changes, facilitating and coordinating treatment such as psychotherapy, pharmacotherapy, counseling and/or psychiatric consultation, and continuity of care with a designated member of the care team."
99485,Evaluation & Management,129-Other medical services,"Supervision by a control physician of interfacility transport care of the critically ill or critically injured pediatric patient, 24 months of age or younger, includes two-way communication with transport team before transport, at the referring facility and during the transport, including data interpretation and report; first 30 minutes"
99493,Evaluation & Management,129-Other medical services,"Subsequent psychiatric collaborative care management, first 60 minutes in a subsequent month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional, with the following required elements: tracking patient follow-up and progress using the registry, with appropriate documentation, participation in weekly caseload consultation with the psychiatric consultant, ongoing collaboration with and coordination of the patient's mental health care with the treating physician or other qualified health care professional and any other treating mental health providers, additional review of progress and recommendations for changes in treatment, as indicated, including medications, based on recommendations provided by the psychiatric consultant, provision of brief interventions using evidence-based techniques such as behavioral activation, motivational interviewing, and other focused treatment strategies, monitoring of patient outcomes using validated rating scales, and relapse prevention planning with patients as they achieve remission of symptoms and/or other treatment goals and are prepared for discharge from active treatment."
99495,Evaluation & Management,129-Other medical services,"Transitional Care Management Services with the following required elements: Communication (direct contact, telephone, electronic) with the patient and/or caregiver within 2 business days of discharge Medical decision making of at least moderate complexity during the service period Face-to-face visit, within 14 calendar days of discharge"
99496,Evaluation & Management,129-Other medical services,"Transitional Care Management Services with the following required elements: Communication (direct contact, telephone, electronic) with the patient and/or caregiver within 2 business days of discharge Medical decision making of high complexity during the service period Face-to-face visit, within 7 calendar days of discharge"
99498,Evaluation & Management,129-Other medical services,"Advance care planning including the explanation and discussion of advance directives such as standard forms (with completion of such forms, when performed), by the physician or other qualified health care professional; each additional 30 minutes (List separately in addition to code for primary procedure)"
S9145,Temp Codes (Commercial),129-Other medical services,"Insulin pump initiation, instruction in initial use of pump (pump not included)"
S9441,Temp Codes (Commercial),129-Other medical services,"Asthma education, nonphysician provider, per session"
T2021,Medical Agency Codes,129-Other medical services,"Day habilitation, waiver; per 15 minutes"
96156,Evaluation & Management,129-Other medical services,"Health behavior assessment, or re-assessment (ie, health-focused clinical interview, behavioral observations, clinical decision making)"
96159,Evaluation & Management,129-Other medical services,"Health behavior intervention, individual, face-to-face; each additional 15 minutes (List separately in addition to code for primary service)"
96165,Evaluation & Management,129-Other medical services,"Health behavior intervention, group (2 or more patients), face-to-face; each additional 15 minutes (List separately in addition to code for primary service)"
98980,Evaluation & Management,129-Other medical services,"Remote therapeutic monitoring treatment management services, physician or other qualified health care professional time in a calendar month requiring at least one interactive communication with the patient or caregiver during the calendar month; first 20 minutes"
97780,Evaluation & Management,129-Other medical services,NA
98975,Evaluation & Management,129-Other medical services,"Remote therapeutic monitoring (eg, respiratory system status, musculoskeletal system status, therapy adherence, therapy response); initial set-up and patient education on use of equipment"
99056,Evaluation & Management,129-Other medical services,"Service(s) typically provided in the office, provided out of the office at request of patient, in addition to basic service"
99358,Evaluation & Management,129-Other medical services,Prolonged evaluation and management service before and/or after direct patient care; first hour
99379,Evaluation & Management,129-Other medical services,"Supervision of a nursing facility patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, review of related laboratory and other studies, communication (including telephone calls) for purposes of assessment or care decisions with health care professional(s), family member(s), surrogate decision maker(s) (eg, legal guardian) and/or key caregiver(s) involved in patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month; 15-29 minutes"
99425,Evaluation & Management,129-Other medical services,"Principal care management services, for a single high-risk disease, with the following required elements: one complex chronic condition expected to last at least 3 months, and that places the patient at significant risk of hospitalization, acute exacerbation/decompensation, functional decline, or death, the condition requires development, monitoring, or revision of disease-specific care plan, the condition requires frequent adjustments in the medication regimen and/or the management of the condition is unusually complex due to comorbidities, ongoing communication and care coordination between relevant practitioners furnishing care; each additional 30 minutes provided personally by a physician or other qualified health care professional, per calendar month (List separately in addition to code for primary procedure)"
G9156,Temp Codes (Professional),129-Other medical services,Evaluation for wheelchair requiring face-to-face visit with physician
S8930,Temp Codes (Commercial),129-Other medical services,Electrical stimulation of auricular acupuncture points; each 15 minutes of personal one-on-one contact with patient
S9117,Temp Codes (Commercial),129-Other medical services,"Back school, per visit"
S9988,Temp Codes (Commercial),129-Other medical services,Services provided as part of a Phase I clinical trial
S9989,Temp Codes (Commercial),129-Other medical services,Services provided outside of the United States of America (list in addition to code(s) for services(s))
S9991,Temp Codes (Commercial),129-Other medical services,Services provided as part of a Phase III clinical trial
T1019,Medical Agency Codes,129-Other medical services,"Personal care services, per 15 minutes, not for an inpatient or resident of a hospital, nursing facility, ICF/MR or IMD, part of the individualized plan of treatment (code may not be used to identify services provided by home health aide or certified nurse assistant)"
T1020,Medical Agency Codes,129-Other medical services,"Personal care services, per diem, not for an inpatient or resident of a hospital, nursing facility, ICF/MR or IMD, part of the individualized plan of treatment (code may not be used to identify services provided by home health aide or certified nurse assistant)"
T1032,Medical Agency Codes,129-Other medical services,"Services performed by a doula birth worker, per 15 minutes"
T2025,Medical Agency Codes,129-Other medical services,Waiver services; not otherwise specified (NOS)
Q5006,Temp Codes (Misc),129-Other medical services,Hospice care provided in inpatient hospice facility
Q9001,Temp Codes (Misc),129-Other medical services,Assessment by chaplain services
S0209,Temp Codes (Commercial),129-Other medical services,"Wheelchair van, mileage, per mile"
S0257,Temp Codes (Commercial),129-Other medical services,"Counseling and discussion regarding advance directives or end of life care planning and decisions, with patient and/or surrogate (list separately in addition to code for appropriate evaluation and management service)"
S4042,Temp Codes (Commercial),129-Other medical services,"Management of ovulation induction (interpretation of diagnostic tests and studies, nonface-to-face medical management of the patient), per cycle"
Q5002,Temp Codes (Misc),129-Other medical services,Hospice or home health care provided in assisted living facility
Q5003,Temp Codes (Misc),129-Other medical services,Hospice care provided in nursing long-term care facility (LTC) or nonskilled nursing facility (NF)
Q5004,Temp Codes (Misc),129-Other medical services,Hospice care provided in skilled nursing facility (SNF)
Q5009,Temp Codes (Misc),129-Other medical services,Hospice or home health care provided in place not otherwise specified (NOS)
S0280,Temp Codes (Commercial),129-Other medical services,"Medical home program, comprehensive care coordination and planning, initial plan"
S0395,Temp Codes (Commercial),129-Other medical services,Impression casting of a foot performed by a practitioner other than the manufacturer of the orthotic
0592T,Temporary Code,129-Other medical services,"Health and well-being coaching face-to-face; individual, follow-up session, at least 30 minutes"
0593T,Temporary Code,129-Other medical services,"Health and well-being coaching face-to-face; group (2 or more individuals), at least 30 minutes"
96158,Evaluation & Management,129-Other medical services,"Health behavior intervention, individual, face-to-face; initial 30 minutes"
96164,Evaluation & Management,129-Other medical services,"Health behavior intervention, group (2 or more patients), face-to-face; initial 30 minutes"
96521,Evaluation & Management,129-Other medical services,Refilling and maintenance of portable pump
96902,Evaluation & Management,129-Other medical services,"Microscopic examination of hairs plucked or clipped by the examiner (excluding hair collected by the patient) to determine telogen and anagen counts, or structural hair shaft abnormality"
98977,Evaluation & Management,129-Other medical services,"Remote therapeutic monitoring (eg, respiratory system status, musculoskeletal system status, therapy adherence, therapy response); device(s) supply with scheduled (eg, daily) recording(s) and/or programmed alert(s) transmission to monitor musculoskeletal system, each 30 days"
G0421,Temp Codes (Professional),129-Other medical services,"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per 1 hour"
G0452,Temp Codes (Professional),129-Other medical services,Molecular pathology procedure; physician interpretation and report
G0453,Temp Codes (Professional),129-Other medical services,"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)"
G0501,Temp Codes (Professional),129-Other medical services,"Resource-intensive services for patients for whom the use of specialized mobility-assistive technology (such as adjustable height chairs or tables, patient lift, and adjustable padded leg supports) is medically necessary and used during the provision of an office/outpatient, evaluation and management visit (list separately in addition to primary service)"
G2065,Temp Codes (Professional),129-Other medical services,"Comprehensive care management for a single high risk disease services, e.g., principal care management, at least 30 minutes of clinical staff time directed by a physician or other qualified health care professional, per calendar month with the following elements: one complex chronic condition lasting at least 3 months, which is the focus of the care plan, the condition is of sufficient severity to place patient at risk of hospitalization or have been cause of a recent hospitalization, the condition requires development or revision of disease-specific care plan, the condition requires frequent adjustments in the medication regimen, and/or the management of the condition is unusually complex due to comorbidities"
96522,Evaluation & Management,129-Other medical services,"Refilling and maintenance of implantable pump or reservoir for drug delivery, systemic (eg, intravenous, intra-arterial)"
96040,Evaluation & Management,129-Other medical services,"Medical genetics and genetic counseling services, each 30 minutes face-to-face with patient/family"
96170,Evaluation & Management,129-Other medical services,"Health behavior intervention, family (without the patient present), face-to-face; initial 30 minutes"
96171,Evaluation & Management,129-Other medical services,"Health behavior intervention, family (without the patient present), face-to-face; each additional 15 minutes (List separately in addition to code for primary service)"
Q5007,Temp Codes (Misc),129-Other medical services,Hospice care provided in long-term care facility
S0311,Temp Codes (Commercial),129-Other medical services,"Comprehensive management and care coordination for advanced illness, per calendar month"
97781,Evaluation & Management,129-Other medical services,NA
98976,Evaluation & Management,129-Other medical services,"Remote therapeutic monitoring (eg, respiratory system status, musculoskeletal system status, therapy adherence, therapy response); device(s) supply with scheduled (eg, daily) recording(s) and/or programmed alert(s) transmission to monitor respiratory system, each 30 days"
98981,Evaluation & Management,129-Other medical services,"Remote therapeutic monitoring treatment management services, physician or other qualified health care professional time in a calendar month requiring at least one interactive communication with the patient or caregiver during the calendar month; each additional 20 minutes (List separately in addition to code for primary procedure)"
99026,Evaluation & Management,129-Other medical services,"Hospital mandated on call service; in-hospital, each hour"
99027,Evaluation & Management,129-Other medical services,"Hospital mandated on call service; out-of-hospital, each hour"
99142,Anesthesia,129-Other medical services,NA
99378,Evaluation & Management,129-Other medical services,"Supervision of a hospice patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, review of related laboratory and other studies, communication (including telephone calls) for purposes of assessment or care decisions with health care professional(s), family member(s), surrogate decision maker(s) (eg, legal guardian) and/or key caregiver(s) involved in patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month; 30 minutes or more"
99453,Evaluation & Management,129-Other medical services,"Remote monitoring of physiologic parameter(s) (eg, weight, blood pressure, pulse oximetry, respiratory flow rate), initial; set-up and patient education on use of equipment"
99457,Evaluation & Management,129-Other medical services,"Remote physiologic monitoring treatment management services, clinical staff/physician/other qualified health care professional time in a calendar month requiring interactive communication with the patient/caregiver during the month; first 20 minutes"
G0248,Temp Codes (Professional),129-Other medical services,"Demonstration, prior to initiation of home INR monitoring, for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets Medicare coverage criteria, under the direction of a physician; includes: face-to-face demonstration of use and care of the INR monitor, obtaining at least one blood sample, provision of instructions for reporting home INR test results, and documentation of patient's ability to perform testing and report results"
G0250,Temp Codes (Professional),129-Other medical services,"Physician review, interpretation, and patient management of home INR testing for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets Medicare coverage criteria; testing not occurring more frequently than once a week; billing units of service include four tests"
G0263,Temp Codes (Professional),129-Other medical services,NA
G0271,Temp Codes (Professional),129-Other medical services,"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (two or more individuals), each 30 minutes"
G0420,Temp Codes (Professional),129-Other medical services,"Face-to-face educational services related to the care of chronic kidney disease; individual, per session, per 1 hour"
G0506,Temp Codes (Professional),129-Other medical services,Comprehensive assessment of and care planning for patients requiring chronic care management services (list separately in addition to primary monthly care management service)
G2082,Temp Codes (Professional),129-Other medical services,"Office or other outpatient visit for the evaluation and management of an established patient that requires the supervision of a physician or other qualified health care professional and provision of up to 56 mg of esketamine nasal self administration, includes 2 hours post administration observation"
G2083,Temp Codes (Professional),129-Other medical services,"Office or other outpatient visit for the evaluation and management of an established patient that requires the supervision of a physician or other qualified health care professional and provision of greater than 56 mg esketamine nasal self administration, includes 2 hours post administration observation"
G0128,Temp Codes (Professional),129-Other medical services,"Direct (face-to-face with patient) skilled nursing services of a registered nurse provided in a comprehensive outpatient rehabilitation facility, each 10 minutes beyond the first 5 minutes"
G0270,Temp Codes (Professional),129-Other medical services,"Medical nutrition therapy; reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition or treatment regimen (including additional hours needed for renal disease), individual, face-to-face with the patient, each 15 minutes"
G0455,Temp Codes (Professional),129-Other medical services,"Preparation with instillation of fecal microbiota by any method, including assessment of donor specimen"
G2058,Temp Codes (Professional),129-Other medical services,NA
G2064,Temp Codes (Professional),129-Other medical services,"Comprehensive care management services for a single high risk disease, e.g., principal care management, at least 30 minutes of physician or other qualified health care professional time per calendar month with the following elements: one complex chronic condition lasting at least 3 months, which is the focus of the care plan, the condition is of sufficient severity to place patient at risk of hospitalization or have been the cause of a recent hospitalization, the condition requires development or revision of disease specific care plan, the condition requires frequent adjustments in the medication regimen, and/or the management of the condition is unusually complex due to comorbidities"
G9477,Temp Codes (Professional),129-Other medical services,"Services performed by care coordinator in the hospice setting, each 15 minutes"
Q5005,Temp Codes (Misc),129-Other medical services,Hospice care provided in inpatient hospital
Q5010,Temp Codes (Misc),129-Other medical services,Hospice home care provided in a hospice facility
R0076,Radiology,129-Other medical services,"Transportation of portable EKG to facility or location, per patient"
S0208,Temp Codes (Commercial),129-Other medical services,"Paramedic intercept, hospital-based ALS service (nonvoluntary), nontransport"
S0281,Temp Codes (Commercial),129-Other medical services,"Medical home program, comprehensive care coordination and planning, maintenance of plan"
S0353,Temp Codes (Commercial),129-Other medical services,Treatment planning and care coordination management for cancer initial treatment
S0354,Temp Codes (Commercial),129-Other medical services,Treatment planning and care coordination management for cancer established patient with a change of regimen
S0630,Temp Codes (Commercial),129-Other medical services,Removal of sutures; by a physician other than the physician who originally closed the wound
S5185,Temp Codes (Commercial),129-Other medical services,"Medication reminder service, nonface-to-face; per month"
0003A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 30 mcg/0.3 mL dosage, diluent reconstituted; third dose"
0011A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 100 mcg/0.5mL dosage; first dose"
0021A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, DNA, spike protein, chimpanzee adenovirus Oxford 1 (ChAdOx1) vector, preservative free, 5x1010 viral particles/0.5mL dosage; first dose"
0031A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, DNA, spike protein, adenovirus type 26 (Ad26) vector, preservative free, 5x1010 viral particles/0.5mL dosage; single dose"
0041A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, recombinant spike protein nanoparticle, saponin-based adjuvant, preservative free, 5 mcg/0.5mL dosage; first dose"
0051A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 30 mcg/0.3 mL dosage, tris-sucrose formulation; first dose"
0072A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 10 mcg/0.2 mL dosage, diluent reconstituted, tris-sucrose formulation; second dose"
0083A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 3 mcg/0.2 mL dosage, diluent reconstituted, tris-sucrose formulation; third dose"
0124A,COVID Vaccines,130-Injections: immunizations,NA
0154A,COVID Vaccines,130-Injections: immunizations,NA
0164A,COVID Vaccines,130-Injections: immunizations,NA
0174A,COVID Vaccines,130-Injections: immunizations,NA
0173A,COVID Vaccines,130-Injections: immunizations,NA
G0190,Temp Codes (Professional),130-Injections: immunizations,NA
90460,Evaluation & Management,130-Injections: immunizations,"Immunization administration through 18 years of age via any route of administration, with counseling by physician or other qualified health care professional; first or only component of each vaccine or toxoid administered"
90470,Evaluation & Management,130-Injections: immunizations,NA
90477,Evaluation & Management,130-Injections: immunizations,"Adenovirus vaccine, type 7, live, for oral use"
90587,Evaluation & Management,130-Injections: immunizations,"Dengue vaccine, quadrivalent, live, 3 dose schedule, for subcutaneous use"
90622,Evaluation & Management,130-Injections: immunizations,NA
90630,Evaluation & Management,130-Injections: immunizations,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, for intradermal use"
90636,Evaluation & Management,130-Injections: immunizations,"Hepatitis A and hepatitis B vaccine (HepA-HepB), adult dosage, for intramuscular use"
90644,Evaluation & Management,130-Injections: immunizations,"Meningococcal conjugate vaccine, serogroups C & Y and Haemophilus influenzae type b vaccine (Hib-MenCY), 4 dose schedule, when administered to children 6 weeks-18 months of age, for intramuscular use"
90645,Evaluation & Management,130-Injections: immunizations,NA
90648,Evaluation & Management,130-Injections: immunizations,"Haemophilus influenzae type b vaccine (Hib), PRP-T conjugate, 4 dose schedule, for intramuscular use"
90653,Evaluation & Management,130-Injections: immunizations,"Influenza vaccine, inactivated (IIV), subunit, adjuvanted, for intramuscular use"
90663,Evaluation & Management,130-Injections: immunizations,NA
90669,Evaluation & Management,130-Injections: immunizations,NA
90677,Evaluation & Management,130-Injections: immunizations,"Pneumococcal conjugate vaccine, 20 valent (PCV20), for intramuscular use"
90682,Evaluation & Management,130-Injections: immunizations,"Influenza virus vaccine, quadrivalent (RIV4), derived from recombinant DNA, hemagglutinin (HA) protein only, preservative and antibiotic free, for intramuscular use"
90696,Evaluation & Management,130-Injections: immunizations,"Diphtheria, tetanus toxoids, acellular pertussis vaccine and inactivated poliovirus vaccine (DTaP-IPV), when administered to children 4 through 6 years of age, for intramuscular use"
90702,Evaluation & Management,130-Injections: immunizations,"Diphtheria and tetanus toxoids adsorbed (DT) when administered to individuals younger than 7 years, for intramuscular use"
90704,Evaluation & Management,130-Injections: immunizations,NA
90705,Evaluation & Management,130-Injections: immunizations,NA
90708,Evaluation & Management,130-Injections: immunizations,NA
90709,Evaluation & Management,130-Injections: immunizations,NA
90725,Evaluation & Management,130-Injections: immunizations,NA
90740,Evaluation & Management,130-Injections: immunizations,"Hepatitis B vaccine (HepB), dialysis or immunosuppressed patient dosage, 3 dose schedule, for intramuscular use"
90744,Evaluation & Management,130-Injections: immunizations,"Hepatitis B vaccine (HepB), pediatric/adolescent dosage, 3 dose schedule, for intramuscular use"
90756,Evaluation & Management,130-Injections: immunizations,"Influenza virus vaccine, quadrivalent (ccIIV4), derived from cell cultures, subunit, antibiotic free, 0.5mL dosage, for intramuscular use"
91303,Evaluation & Management,130-Injections: immunizations,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, DNA, spike protein, adenovirus type 26 (Ad26) vector, preservative free, 5x1010 viral particles/0.5mL dosage, for intramuscular use"
91307,Evaluation & Management,130-Injections: immunizations,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 10 mcg/0.2 mL dosage, diluent reconstituted, tris-sucrose formulation, for intramuscular use"
91311,Evaluation & Management,130-Injections: immunizations,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 25 mcg/0.25 mL dosage, for intramuscular use"
91312,Evaluation & Management,130-Injections: immunizations,NA
91316,Evaluation & Management,130-Injections: immunizations,NA
G0008,Temp Codes (Professional),130-Injections: immunizations,Administration of influenza virus vaccine
0002A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 30 mcg/0.3mL dosage, diluent reconstituted; second dose"
0022A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, DNA, spike protein, chimpanzee adenovirus Oxford 1 (ChAdOx1) vector, preservative free, 5x1010 viral particles/0.5mL dosage; second dose"
0042A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, recombinant spike protein nanoparticle, saponin-based adjuvant, preservative free, 5 mcg/0.5mL dosage; second dose"
0044A,COVID Vaccines,130-Injections: immunizations,PLACEHOLDER ONLY
0073A,COVID Vaccines,130-Injections: immunizations,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 10 mcg/0.2 mL dosage, diluent reconstituted, tris-sucrose formulation; third dose"
